ID	MDHFO10	MDHFO11	MDHFO12	MDHFO13	MDHFO14	MDHFO15	MDHFO16	MDHFO17	MDHFO18	MDHFO19	MDHFO1	MDHFO20	MDHFO21	MDHFO22	MDHFO23	MDHFO24	MDHFO25	MDHFO26	MDHFO27	MDHFO28	MDHFO29	MDHFO2	MDHFO30	MDHFO3	MDHFO4	MDHFO5	MDHFO6	MDHFO7	MDHFO8	MDHFO9	MDHFS10-2	MDHFS1-1	MDHFS13-2	MDHFS14-1	MDHFS15-1	MDHFS17-1	MDHFS18-1	MDHFS19-1	MDHFS20-1	MDHFS21-1	MDHFS2-1	MDHFS22-1	MDHFS23-1	MDHFS24-1	MDHFS25-1	MDHFS26-1	MDHFS29-1	MDHFS30-1	MDHFS31-1	MDHFS3-1	MDHFS32-1	MDHFS33-1	MDHFS34-1	MDHFS35-1	MDHFS4-1	MDHFS5-1	MDHFS6-1	MDHFS7-1	MDHFS8-1	MDHFS9-1	MDHFT10-1	MDHFT1-1	MDHFT14-1	MDHFT15-1	MDHFT16-1	MDHFT17-1	MDHFT18-1	MDHFT19-1	MDHFT20-1	MDHFT21-1	MDHFT2-1	MDHFT23-1	MDHFT24-1	MDHFT25-2	MDHFT26-2	MDHFT27-1	MDHFT29-1	MDHFT30-1	MDHFT31-1	MDHFT3-1	MDHFT32-1	MDHFT33-1	MDHFT34-1	MDHFT35-2	MDHFT4-1	MDHFT6-1	MDHFT7-1	MDHFT8-1
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	0.00942139951906533	0.0102874763984697	0.00920464432561864	0.00867308458459588	0.0229788878877825	0.0103829007967225	0.00443648653073986	0.00769230772711005	0.0177287263292555	0.0112467452821055	0.0177723048859656	0.0435646669597864	0.0417102945218179	0.0157360813274031	0.0192160338828754	0.0187809522077423	0.00752825423158848	0.00517760238435013	0.0249595252574074	0.00421175408078491	0.036765878894977	0.0228040378095208	0.0382826275273146	0.0119053964906991	0.00586554474769028	0.036822092052723	0.00625293777592648	0.0180417007041056	0.0202354682296018	0.0187225603342425	0.0021582873297438	0.00676144965494296	0.00217640421552742	0.00156273588009601	0.00232970745950965	0.0019397649347978	0.00226795353467953	0.00203212849409177	0.00204901315689257	0.00190538982334438	0.00261882561647292	0.00202262821494651	0.00182194921027467	0.00220795207210963	0.00221093811881851	0.00221657965813905	0.00281242366306821	0.00269549449081143	0.00276898432118688	0.00213710887895799	0.00162476692247837	0.00319534326477808	0.003219889896959	0.00258826072494855	0.00290076012410884	0.00328700122211868	0.00563247083457703	0.00188915459139425	0.00331523877501038	0.00151228520275814	0.00206055678569203	0.00162487310486647	0.00179415045821583	0.0017585912501434	0.00177979188355608	0.0016358036322696	0.00202496116805487	0.00285670918590043	0.00236381351362371	0.00261329466398135	0.00191910944541037	0.002518958152256	0.0021208265046216	0.00198679659654089	0.00158913212552147	0.00206045133214124	0.00103261980962764	0.0021613101817998	0.00193148606161768	0.00175318522485996	0.00219823075151282	0.00204382591562234	0.00231089113626038	0.00271255201013946	0.00205393350826506	0.00167790141626729	0.00254527577037289	0.00187146519879435
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__RUG572;s__	0.00236807082599048	0.000463716503896039	0.00242035883981012	1.46048943161143e-05	1.66284024594136e-05	1.23833817202322e-05	5.88713321045883e-05	0.000325582304084547	1.03105128879578e-05	8.17941403036379e-05	2.68808428125708e-05	8.10711470623806e-05	1.21092774224754e-05	0.000152297307100425	2.46736419797131e-05	0.000357781362563841	1.15110676218644e-05	8.65274285919304e-06	5.51072701044187e-05	1.43393562013025e-05	1.54441653520692e-05	2.15045370091031e-05	4.14553366624813e-05	0.00111623089594865	3.07989913750194e-05	9.04533114417035e-06	1.17245045642048e-05	2.07065600683619e-05	4.52816218297585e-05	1.37403200256724e-05	0.00346641960611365	0.000214160764760761	0.00221271888772482	0.00194226948800872	0.00155405321719203	0.000899718291506838	0.00188447718345848	0.00090826927979661	0.00673271471476594	0.00660619093938382	0.00241366094727443	0.00260656342107204	0.000673369634494524	0.00148179202196478	0.00220800859989775	0.000954796167884233	0.000313568440346384	0.00199903222672724	0.000502463198411502	0.000655162956454457	0.000711171116422155	0.000246170609288871	0.000414809156227836	0.00155432903391735	0.00244646113140456	0.00246558560272438	0.00315312008208897	0.00138074200084188	0.00207433013074758	0.00108165047509162	0.000933204741749613	0.000324681095080491	0.0007628126080694	0.001466787891287	0.000675736785892402	0.00094850865463393	0.0012829777647568	0.000332945561550175	0.000340082349289312	0.000389949846032694	0.00219243282341591	0.00058422206842159	0.000680851780355138	0.00168400037727294	0.000759965733796099	0.000778136537714684	0.000277213744967801	0.000502144433692666	0.000484279512842053	0.0018009418573673	0.00109994292252035	0.000360401511857602	0.000303024111699039	0.00160448878742919	0.00041304354661638	0.000969944240215626	0.0011066475164769	0.00104645084756832
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__;g__;s__	0.000252194634762311	0.000112896216076159	0.00016980493940505	0.00846690106116531	0.0017218457511544	0.00875492542683223	8.97593549059315e-05	0.000150435120092399	0.00144358795325133	0.00332688558844434	4.17140735984461e-05	0.00539384290851183	0.00170442498957082	0.000370433506654756	1.63005291054529e-05	0.00103388680743786	1.54350766653747e-05	1.59273639448789e-05	0.000121646152276441	0.000604047500302348	1.71311357401629e-05	4.10229412969162e-05	0.00253848208959675	3.63719936516573e-05	0.00234870841031803	3.43409913200872e-05	1.99833892662596e-05	0.00232842210215314	2.67679890869446e-05	1.53110409194949e-05	1.98783369211002e-05	0.000208482160649819	1.49714161854828e-05	1.34592717975778e-05	0.000202795272791649	3.19570473172336e-05	1.17297454279522e-05	3.50236807252854e-05	1.13920774305332e-05	1.59721088318926e-05	1.7921837132085e-05	0.000423018632497328	9.4632231717782e-06	1.16019852376742e-05	1.50056196180847e-05	1.21787813108052e-05	1.09169100598739e-05	0.00024997059688195	9.51512984027066e-06	1.3167376591668e-05	2.37681777647511e-05	1.24675703961213e-05	1.21691229357712e-05	9.19212181881798e-05	0.000109094126915277	0.000167212523542308	0.000362693214051797	2.61878099120854e-05	1.35707362377033e-05	2.80717146505288e-05	9.93734894897455e-06	9.23439222822272e-06	7.27158886787036e-06	1.00665955831743e-05	2.04476782653782e-05	1.18794689483012e-05	1.27384140111827e-05	1.31828648865958e-05	1.12942444512058e-05	1.19957615350032e-05	1.02892841046468e-05	1.21760640754343e-05	1.2052136850631e-05	9.30763590956298e-06	1.17628329105756e-05	1.07702146100802e-05	1.13331027216898e-05	1.22370853720047e-05	1.38191106532239e-05	9.19082553843014e-06	1.38394014359973e-05	1.13921482113079e-05	1.12339546455294e-05	1.29227175415702e-05	1.23781213392034e-05	9.17946187330126e-06	1.03110170994816e-05	9.68730127327415e-06
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RUG163;s__	0.00027771009936769	0.000117331622342927	0.000178641540882574	0.000121093044385279	7.93386178293763e-05	0.00014632598077466	0.00021558081546589	0.000140484333133378	9.35111869355365e-05	0.000218550605082259	0.000391183555440337	0.000153558064489265	0.000108309262986221	9.33104212963381e-05	0.000121966088818876	9.35589788239386e-05	0.000117047358869983	0.000114161007366676	0.000214963285403563	0.000124416660363096	7.01267256009908e-05	0.000122677535449921	6.76400278956227e-05	0.000210726875261693	0.000472405342972508	7.50155999581903e-05	7.5675528996977e-05	9.40472628966404e-05	0.000187512752747152	9.48643663344845e-05	0.00803674872820573	0.000420436149030213	0.0013986461382182	0.00042681914561752	0.000625608963339307	0.00185776792045292	0.00127237942809845	0.00306251197050454	0.000820968388076701	0.014213767319144	0.027061071990156	0.00143856404670755	0.0254105430473927	0.00139533224612925	0.00152689044364889	0.000593306472682237	0.00217918855704754	0.00345168061712403	0.000439112024927433	0.00856254977658019	0.000516004232921488	0.0025101979735134	0.0124723862590519	0.00425475407147401	0.0091029398446719	0.000429381755538537	0.000434447727144074	0.000351561136386387	0.00040303644442925	0.00119386218988404	0.000801435807615409	0.000502500628151198	0.0176217026438706	0.00185403544307997	0.00145617650754889	0.00598289943705536	0.0013029254739259	0.00385349583468106	0.00113393304112286	0.00220366838472208	0.00878005259319583	0.00116817545681713	0.000560753921780294	0.029862648992052	0.00457964151749907	0.00749400259571624	0.000375073979544009	0.0101964013077472	0.00368837316641051	0.0014074155150738	0.00209585767076995	0.00153816159807571	0.0026263425275584	0.0027137347523941	0.00884157392086064	0.00118792162998825	0.0222342908029938	0.000677336305815825
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__;s__	0.00151213413930846	0.000239607691432579	0.000619420068676492	0.000340162122919919	0.000201769091220644	0.000202112005298369	0.00373018279044142	0.000310685028219181	0.000127026349778875	0.000275941331353973	0.000252105032890278	0.000507017206485008	0.000122416481696938	0.000240541983331463	0.000173593694468374	0.000201085174412959	0.000499185857389308	0.000164931964202458	0.000174573745438385	0.000200181894669562	0.000124663409581316	0.000260052721231577	0.000189260571365516	0.000331945309598298	0.00043964780758054	0.00012433271125759	0.0001897343110133	0.000299917409901683	0.000605536006464531	0.000154810753839909	0.00197211018650114	0.000503443950010843	0.0027229363794627	0.000791709945263944	0.00238459882630131	0.0055491660011746	0.00287580997044849	0.00288025703722884	0.00171213906750803	0.00213523155565492	0.00531324087004527	0.00323195920964173	0.0189446621243068	0.00660687425954517	0.00663171811662074	0.00704506805600408	0.00760755902709133	0.00394253326038558	0.00426178436183394	0.00850773787740327	0.00608004200660071	0.00322886985418637	0.00547889418129115	0.00251172378964343	0.00313450386032508	0.000549420027351976	0.0104382571862463	0.0110715469217979	0.00151811710216696	0.00714024899461276	0.00240727608886753	0.01285296390742	0.00253986727773237	0.00774748912522411	0.00219374130543882	0.00964065946622993	0.00724922092724721	0.00284153418758776	0.00332737113224415	0.00360580646574125	0.00418858373894495	0.00719382078060078	0.00265452432686609	0.00292040296986843	0.00132059061651212	0.00321010303215754	0.00107204300607891	0.00857123521057965	0.00453081975690172	0.0014027905398253	0.00514567602737437	0.00179122369298099	0.00469476598766054	0.00361949977792139	0.0110085453838207	0.0111840156987694	0.00593678477302688	0.00393988862183753
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	8.00407477294367e-05	6.71095567735465e-05	0.000259340902552276	2.8046660089793e-05	7.11498391881283e-05	4.62365937698151e-05	9.68429265954323e-05	0.00105318800089821	4.12988360355206e-05	0.000208169844538166	0.00012680848352788	7.17338156279123e-05	2.4015935606949e-05	0.000353901897504211	6.84400500373052e-05	6.67909604848315e-05	1.32508628297102e-05	2.39705821312836e-05	0.0201972229207388	2.51930070854668e-05	0.0160214536847524	0.000259617786946303	0.00236832237805146	6.71705940760861e-05	0.000212962493102596	0.000413634336380249	4.56524544183922e-05	7.40765868795701e-05	0.000204188136480186	6.66712682318638e-05	2.33469371974737e-05	8.95306919531777e-05	2.9156069177279e-05	2.71920877344085e-05	2.69510079134878e-05	2.37283988596337e-05	2.9561654036653e-05	2.80101093439264e-05	2.49945708153473e-05	2.11305133145782e-05	3.72121360311986e-05	2.5359023240381e-05	2.87770665011564e-05	3.24297673020177e-05	3.02254840678779e-05	2.24455870863615e-05	4.37631017985238e-05	5.90315136981778e-05	2.42274352896777e-05	3.88480756377385e-05	2.22805413447836e-05	4.15017926810157e-05	3.29549141920734e-05	3.55207633224592e-05	4.49088919984816e-05	4.66985275476778e-05	3.83787027850075e-05	4.95481003707252e-05	5.39402393505841e-05	2.68920239186425e-05	2.84489755301931e-05	6.35713673614164e-05	2.47542658379966e-05	2.50583615109998e-05	2.58084545410145e-05	3.30270277694153e-05	4.53716391958632e-05	3.68595502244777e-05	3.29284643735784e-05	2.65172635547985e-05	3.82350805928124e-05	2.96953425929315e-05	2.16466806996872e-05	1.9742609316164e-05	3.16231488191603e-05	2.5255786891208e-05	1.58695734447828e-05	4.12613493344233e-05	2.65789150910211e-05	1.75865219160976e-05	4.06808196787955e-05	2.02663085027775e-05	2.10746179649674e-05	2.77353418338211e-05	4.02140591387452e-05	2.20591223707534e-05	2.86306844844733e-05	2.03653973249749e-05
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter;s__	2.51879386584422e-05	0.00280694428517422	2.71549586502422e-05	1.15600287223523e-05	8.15884631920687e-06	5.32712027891459e-05	6.58560110148263e-06	0.00015203328666879	1.44817769897249e-05	0.000205726787620927	0.000874708068818012	3.21658992575747e-05	1.56424109618708e-05	0.000287722090202413	3.01860322218795e-05	0.000186260383080605	1.14518759880293e-05	1.25224814553154e-05	1.85459153896412e-05	1.52518800726694e-05	0.00100215243806051	3.75268462017057e-05	5.63132480117922e-05	0.000541299456578514	6.78055875561355e-05	2.11677638735393e-05	0.000228043895835684	0.000660753053917251	0.000212159740197417	8.04972230061903e-05	1.23144737521568e-05	1.54666124060448e-05	1.16826942268707e-05	9.67850301735496e-06	9.86610581145823e-06	9.03895225619089e-06	9.41098167923144e-06	8.98878836710493e-06	9.32444916543131e-06	9.96187252526621e-06	1.11429400397038e-05	9.92630083000681e-06	7.60855233207748e-06	9.64487100875486e-06	1.61688426464565e-05	1.20196457151186e-05	1.08156189191006e-05	1.05440509180131e-05	8.33735174935198e-06	8.02407467693938e-06	7.94365896677313e-06	8.59659480460296e-06	1.04417995787401e-05	1.3180194687031e-05	1.43058796213134e-05	8.91258174924962e-06	9.72127540751373e-06	1.24608928382253e-05	1.00364534980521e-05	1.14881481402859e-05	8.56926260766794e-06	8.12158572360688e-06	7.51990518297855e-06	9.35473769576202e-06	9.04590532012458e-06	8.92468708018025e-06	1.13955670299497e-05	1.10798576730513e-05	1.02263298766537e-05	1.13786545445946e-05	1.07168013176744e-05	1.01877934080037e-05	1.09685188624358e-05	7.72286116864458e-06	8.47213700652169e-06	1.01841998227314e-05	1.04817416406177e-05	1.17113749754703e-05	1.0937842075072e-05	8.79141474042007e-06	1.26899768364901e-05	9.7352222119434e-06	9.07950662456415e-06	1.26766111576632e-05	1.19140129984532e-05	8.88958206250156e-06	1.13513611148981e-05	7.81368993159513e-06
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__	0.000165912573327391	1.89089441078851e-05	1.87423023160045e-05	1.08510548080167e-05	1.93179972942006e-05	1.54137488280965e-05	2.36579043205525e-05	3.15289717351279e-05	1.53276695738616e-05	3.84925328622081e-05	0.000240835178104266	3.247589055653e-05	8.08727273122919e-06	2.78459596805945e-05	4.6487617984292e-05	8.83193041840669e-06	2.28825951392493e-05	1.25040217034968e-05	4.61758063472735e-05	1.31868088629129e-05	1.29138979692234e-05	1.36567455393088e-05	1.23679497990548e-05	2.98792359723912e-05	6.56638533353233e-05	1.89227124418663e-05	1.36462184495041e-05	1.41421329192029e-05	2.97487856436102e-05	1.38733042699701e-05	7.55936656830476e-05	5.25972319609316e-05	6.05331243245705e-05	9.16262079900896e-05	7.00146253383049e-05	5.78256805032263e-05	7.82619210579541e-05	5.83739240635403e-05	6.7489376453228e-05	8.85524912990347e-05	4.38252472674978e-05	8.00960664568536e-05	0.00238146830296346	4.6017762794218e-05	6.43077348170595e-05	8.60073705296031e-05	8.25621912055815e-05	6.43867738660955e-05	0.000102003732870283	4.68643416115453e-05	7.59176848430474e-05	5.33896539721039e-05	8.32850883062567e-05	7.07967804382711e-05	4.8180187903274e-05	5.55589371712141e-05	6.65897461482033e-05	4.11903405533444e-05	9.81689204768111e-05	5.19841131158634e-05	5.30789860445893e-05	6.47420656965691e-05	4.85314500537455e-05	5.074863542985e-05	4.21068668447256e-05	0.000361723096745161	0.000187510303428541	0.000165766790214561	0.0003806205914723	0.000238047125041286	5.59524265239386e-05	0.000131436075008726	0.000437755381885247	6.37287497319661e-05	0.000577520850434229	0.0019105635841407	6.65924278723426e-05	0.00109723545441663	4.76229427580736e-05	5.32192330556274e-05	0.000264650361944921	0.000940621183447626	7.10053659381945e-05	9.65126992637027e-05	8.25468213870533e-05	0.000746011041036552	5.97132408357431e-05	0.000373582779844643
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__UBA1776;s__	0.000358352886561387	0.000301514840642455	0.000558489563261391	0.000459815001271081	0.000265079701282292	0.000210217686173016	0.0155459458686932	0.000311134142882868	0.000202337440449214	0.000243394270831806	0.000450354452392009	0.000560256766434865	0.00013547150972792	0.000285328833441001	0.000334694060747099	0.00027935969727751	0.000295800640982003	0.000173946346599524	0.000381513934983039	0.000317862959838555	0.000180329931160154	0.000362846564042163	0.000296231714089101	0.000341744230722568	0.000281098962755989	0.000219510811493669	0.000310525587144796	0.000280857140357262	0.000604084429255027	0.000265792118441599	0.00208916104950924	0.000287061733415189	0.00230934502674134	0.00242865601644149	0.00119727795293625	0.00060771687806264	0.00229027661855524	0.00126753720796642	0.00370448469557253	0.00176833321575955	0.00183844563739611	0.00261025081640538	0.00273255597146072	0.00362425697437465	0.00308013962727425	0.000285566110141703	0.00157988429866147	0.00127541838805381	0.000255415113324793	0.00218534377318566	0.000570364425834394	0.000913603813819047	0.000927890247458797	0.00128024543840084	0.00162446068332774	0.000216072014285609	0.000748436538046361	0.000364375394581194	0.000250592108747356	0.00109572069997285	0.00515438593218718	0.00303400000739031	0.0018363803480033	0.00262013771617781	0.00378073884898848	0.00286407613227592	0.00315605204426263	0.00258761883564952	0.00135037136477095	0.0015629514249268	0.0033956647959824	0.00349729213064606	0.00198548322021707	0.00388880952064113	0.00278228524485826	0.00303201181053047	0.000530706838980354	0.00126928244999342	0.00289019725302596	0.00234753193117026	0.00203909261285427	0.0024204169300438	0.00281841397226841	0.00497604776288056	0.0016308247391786	0.00271663168800355	0.00256901187912607	0.00239742496770041
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2942;s__	8.98156171384954e-05	6.23650876356449e-05	5.61081684741659e-05	2.38111634264984e-05	4.35107117908571e-05	3.88875030612235e-05	3.17865915226963e-05	3.04974912158772e-05	2.13783432803956e-05	5.73374350648761e-05	4.65121858101648e-05	2.76340649897316e-05	1.30120764601758e-05	4.45862698687525e-05	3.33994213089044e-05	5.51646832377673e-05	1.27302379570968e-05	2.02055487182822e-05	3.51921156899121e-05	2.1169097661565e-05	3.87792322705731e-05	8.54855354414998e-05	4.06426832020863e-05	7.34982845062758e-05	6.84705641142395e-05	3.29922487799119e-05	3.87647886329744e-05	7.33603832542757e-05	7.08496439829135e-05	4.39204958117489e-05	3.33069398733088e-05	0.00523197687122849	3.46959251747689e-05	0.00131520565159783	3.44963656066878e-05	3.28524520978527e-05	3.51298149945166e-05	4.16960322525686e-05	2.69495897044325e-05	2.80532728597172e-05	4.64485538559979e-05	4.01484379685515e-05	3.31984108528553e-05	3.68894024590461e-05	3.78094523832172e-05	3.41995362439887e-05	4.35837929394838e-05	5.69286242248339e-05	3.49932715661127e-05	4.16676037640691e-05	2.52633101095555e-05	3.36103420274149e-05	0.000344721321121009	0.000373487662760008	5.15079696356142e-05	4.81740941453532e-05	5.83588979295552e-05	4.1437791124803e-05	4.83431041886341e-05	4.04812915744553e-05	4.36290589201367e-05	3.65532237454505e-05	3.29624492883983e-05	4.30348941247712e-05	2.8277851339725e-05	3.11286330157126e-05	4.37170629286785e-05	4.07414962619869e-05	3.53056528746295e-05	3.0519521590157e-05	3.10782295690315e-05	2.91323981431667e-05	3.20989008055278e-05	2.73341234221193e-05	2.82253697610814e-05	3.13055011840553e-05	3.1878957244739e-05	5.05320335023436e-05	3.24102793767958e-05	3.26322069175153e-05	3.48273546751361e-05	2.88478461948057e-05	2.95410050209842e-05	3.47169463322456e-05	7.44464342060371e-05	3.43981010502138e-05	3.6714273893739e-05	2.8654787437216e-05
