Sample	Phylum	Number	Group
MDHFT33-1	Thermoplasmatota	0.00938722089813059	12_DHNL
MDHFT34-1	Thermoplasmatota	0.00707648797731949	12_DHNL
MDHFT35-2	Thermoplasmatota	0.00549016150497191	12_DHNL
MDHFT4-1	Thermoplasmatota	0.00559812255906134	12_DHNL
MDHFT6-1	Thermoplasmatota	0.00717373678379951	12_DHNL
MDHFT7-1	Thermoplasmatota	0.00780993447032431	12_DHNL
MDHFT8-1	Thermoplasmatota	0.0125786488086513	12_DHNL
MDHFO10	Actinobacteriota	0.000743216997970326	1_DHNL
MDHFO11	Actinobacteriota	0.00107594143361329	1_DHNL
MDHFO12	Actinobacteriota	0.000287274215103901	1_DHNL
MDHFO13	Actinobacteriota	0.000567926278646062	1_DHNL
MDHFO14	Actinobacteriota	0.000137833986010375	1_DHNL
MDHFO15	Actinobacteriota	0.00424160729530032	1_DHNL
MDHFO16	Actinobacteriota	0.000129987078170073	1_DHNL
MDHFO17	Actinobacteriota	0.000916530372786329	1_DHNL
MDHFO18	Actinobacteriota	0.00105267802032352	1_DHNL
MDHFO19	Actinobacteriota	0.000379166239252146	1_DHNL
MDHFO1	Actinobacteriota	0.00600519627407911	1_DHNL
MDHFO20	Actinobacteriota	0.00678256289329131	1_DHNL
MDHFO21	Actinobacteriota	0.000821520148282131	1_DHNL
MDHFO22	Actinobacteriota	0.002133374372232	1_DHNL
MDHFO23	Actinobacteriota	0.000793558277766427	1_DHNL
MDHFO24	Actinobacteriota	0.000489908089378758	1_DHNL
MDHFO25	Actinobacteriota	0.00029325482013084	1_DHNL
MDHFO26	Actinobacteriota	9.98897254106087e-05	1_DHNL
MDHFO27	Actinobacteriota	0.0340972949440368	1_DHNL
MDHFO28	Actinobacteriota	0.000103516953677311	1_DHNL
MDHFO29	Actinobacteriota	0.000676554058585266	1_DHNL
MDHFO2	Actinobacteriota	0.000536364130860657	1_DHNL
MDHFO30	Actinobacteriota	0.000573389883709408	1_DHNL
MDHFO3	Actinobacteriota	0.00125377940996107	1_DHNL
MDHFO4	Actinobacteriota	0.000139181711245328	1_DHNL
MDHFO5	Actinobacteriota	0.00873678769982129	1_DHNL
MDHFO6	Actinobacteriota	0.00372048313143604	1_DHNL
MDHFO7	Actinobacteriota	0.00141989803118735	1_DHNL
MDHFO8	Actinobacteriota	0.00548054581983493	1_DHNL
MDHFO9	Actinobacteriota	0.00201049842819509	1_DHNL
MDHFS10-2	Actinobacteriota	0.000338897962346837	6_DHNL
MDHFS1-1	Actinobacteriota	0.000264525811715184	6_DHNL
MDHFS13-2	Actinobacteriota	0.000318125043627428	6_DHNL
MDHFS14-1	Actinobacteriota	0.000157403455843989	6_DHNL
MDHFS15-1	Actinobacteriota	0.00062956995330752	6_DHNL
MDHFS17-1	Actinobacteriota	0.000374780518214196	6_DHNL
MDHFS18-1	Actinobacteriota	0.000545395528839573	6_DHNL
MDHFS19-1	Actinobacteriota	0.000351281777950798	6_DHNL
MDHFS20-1	Actinobacteriota	0.00016204307372394	6_DHNL
MDHFS21-1	Actinobacteriota	0.000172753635440072	6_DHNL
MDHFS2-1	Actinobacteriota	0.000445288620484714	6_DHNL
MDHFS22-1	Actinobacteriota	0.000961332228741811	6_DHNL
MDHFS23-1	Actinobacteriota	0.000114075236504617	6_DHNL
MDHFS24-1	Actinobacteriota	0.000371120675676545	6_DHNL
MDHFS25-1	Actinobacteriota	0.00049492410938228	6_DHNL
MDHFS26-1	Actinobacteriota	0.0022191077194519	6_DHNL
MDHFS29-1	Actinobacteriota	0.00147684345007073	6_DHNL
MDHFS30-1	Actinobacteriota	0.000134356645305184	6_DHNL
MDHFS31-1	Actinobacteriota	0.000397226427002616	6_DHNL
MDHFS3-1	Actinobacteriota	0.000449246423531027	6_DHNL
MDHFS32-1	Actinobacteriota	0.000377393621695603	6_DHNL
MDHFS33-1	Actinobacteriota	0.000210151633468373	6_DHNL
MDHFS34-1	Actinobacteriota	0.000253397932362852	6_DHNL
MDHFS35-1	Actinobacteriota	0.000363258432010512	6_DHNL
MDHFS4-1	Actinobacteriota	0.00231185288362989	6_DHNL
MDHFS5-1	Actinobacteriota	0.000145691261193959	6_DHNL
MDHFS6-1	Actinobacteriota	0.000117766939824156	6_DHNL
MDHFS7-1	Actinobacteriota	0.00101200839658172	6_DHNL
MDHFS8-1	Actinobacteriota	0.000108731079840146	6_DHNL
MDHFS9-1	Actinobacteriota	0.00200207683168948	6_DHNL
MDHFT10-1	Actinobacteriota	0.000264013029599214	12_DHNL
MDHFT1-1	Actinobacteriota	0.000126404650204732	12_DHNL
MDHFT14-1	Actinobacteriota	0.000251602116459007	12_DHNL
MDHFT15-1	Actinobacteriota	0.000186125907685638	12_DHNL
MDHFT16-1	Actinobacteriota	0.00018874927176116	12_DHNL
MDHFT17-1	Actinobacteriota	0.000729877623946179	12_DHNL
MDHFT18-1	Actinobacteriota	0.000518600157213461	12_DHNL
MDHFT19-1	Actinobacteriota	0.000477052115296288	12_DHNL
MDHFT20-1	Actinobacteriota	0.000214078773715402	12_DHNL
MDHFT21-1	Actinobacteriota	0.00113923635965719	12_DHNL
MDHFT2-1	Actinobacteriota	0.000262652463365731	12_DHNL
MDHFT23-1	Actinobacteriota	0.000422443291081974	12_DHNL
MDHFT24-1	Actinobacteriota	0.000182272660117727	12_DHNL
MDHFT25-2	Actinobacteriota	0.000251144697795886	12_DHNL
MDHFT26-2	Actinobacteriota	0.000542728610884893	12_DHNL
MDHFT27-1	Actinobacteriota	0.000780569656333096	12_DHNL
MDHFT29-1	Actinobacteriota	0.000314034974448353	12_DHNL
MDHFT30-1	Actinobacteriota	0.000241907482910793	12_DHNL
MDHFT31-1	Actinobacteriota	0.000184634031071078	12_DHNL
MDHFT3-1	Actinobacteriota	0.000243046764291449	12_DHNL
MDHFT32-1	Actinobacteriota	0.000547656029527255	12_DHNL
MDHFT33-1	Actinobacteriota	0.000379374272271949	12_DHNL
MDHFT34-1	Actinobacteriota	0.000288611947677389	12_DHNL
MDHFT35-2	Actinobacteriota	0.000309903429357412	12_DHNL
MDHFT4-1	Actinobacteriota	0.000250932817851093	12_DHNL
MDHFT6-1	Actinobacteriota	0.000336144983878929	12_DHNL
MDHFT7-1	Actinobacteriota	0.000215852608967607	12_DHNL
MDHFT8-1	Actinobacteriota	0.000372529958031517	12_DHNL
MDHFO10	Spirochaetota	0.0111624360589237	1_DHNL
MDHFO11	Spirochaetota	0.00159896093649698	1_DHNL
MDHFO12	Spirochaetota	0.00584950960251623	1_DHNL
MDHFO13	Spirochaetota	0.00131868999020559	1_DHNL
MDHFO14	Spirochaetota	0.007449047110152	1_DHNL
MDHFO15	Spirochaetota	0.0012129523938273	1_DHNL
MDHFO16	Spirochaetota	0.0177140354150609	1_DHNL
MDHFO17	Spirochaetota	0.0245582876363572	1_DHNL
MDHFO18	Spirochaetota	0.000825975607898706	1_DHNL
MDHFO19	Spirochaetota	0.00196612231765524	1_DHNL
MDHFO1	Spirochaetota	0.00211963646727057	1_DHNL
MDHFO20	Spirochaetota	0.00182922648855428	1_DHNL
MDHFO21	Spirochaetota	0.000729070270489746	1_DHNL
MDHFO22	Spirochaetota	0.00428787297554698	1_DHNL
MDHFO23	Spirochaetota	0.00138906944198647	1_DHNL
MDHFO24	Spirochaetota	0.00155319523415392	1_DHNL
MDHFO25	Spirochaetota	0.00172161039582469	1_DHNL
MDHFO26	Spirochaetota	0.000844458758974515	1_DHNL
MDHFO27	Spirochaetota	0.00181018433980767	1_DHNL
MDHFO28	Spirochaetota	0.00131253557570226	1_DHNL
MDHFO29	Spirochaetota	0.0055381603759304	1_DHNL
MDHFO2	Spirochaetota	0.00242781815131813	1_DHNL
MDHFO30	Spirochaetota	0.00174384827178654	1_DHNL
MDHFO3	Spirochaetota	0.00240370980332409	1_DHNL
MDHFO4	Spirochaetota	0.0399848895459563	1_DHNL
MDHFO5	Spirochaetota	0.00119078403246363	1_DHNL
MDHFO6	Spirochaetota	0.00151330444752553	1_DHNL
MDHFO7	Spirochaetota	0.00180386618843135	1_DHNL
MDHFO8	Spirochaetota	0.0102061749899402	1_DHNL
MDHFO9	Spirochaetota	0.00207814486206029	1_DHNL
MDHFS10-2	Spirochaetota	0.0174260604173257	6_DHNL
MDHFS1-1	Spirochaetota	0.00796541612438842	6_DHNL
MDHFS13-2	Spirochaetota	0.0121277633014574	6_DHNL
MDHFS14-1	Spirochaetota	0.00260555576885502	6_DHNL
MDHFS15-1	Spirochaetota	0.00807220523374268	6_DHNL
MDHFS17-1	Spirochaetota	0.0148211799016143	6_DHNL
MDHFS18-1	Spirochaetota	0.010417762708078	6_DHNL
MDHFS19-1	Spirochaetota	0.0107993445994106	6_DHNL
MDHFS20-1	Spirochaetota	0.00789229824599887	6_DHNL
MDHFS21-1	Spirochaetota	0.0131664685806613	6_DHNL
MDHFS2-1	Spirochaetota	0.0200690100355841	6_DHNL
MDHFS22-1	Spirochaetota	0.0254546957098634	6_DHNL
MDHFS23-1	Spirochaetota	0.044870429510597	6_DHNL
MDHFS24-1	Spirochaetota	0.0257983305048061	6_DHNL
MDHFS25-1	Spirochaetota	0.0211571889475175	6_DHNL
MDHFS26-1	Spirochaetota	0.0117293061970373	6_DHNL
MDHFS29-1	Spirochaetota	0.0502411977257688	6_DHNL
MDHFS30-1	Spirochaetota	0.0229859452299663	6_DHNL
MDHFS31-1	Spirochaetota	0.0293654750585096	6_DHNL
MDHFS3-1	Spirochaetota	0.0192031371881277	6_DHNL
MDHFS32-1	Spirochaetota	0.0909159838303104	6_DHNL
MDHFS33-1	Spirochaetota	0.0120853369413234	6_DHNL
MDHFS34-1	Spirochaetota	0.0290709135931775	6_DHNL
MDHFS35-1	Spirochaetota	0.0180444991277974	6_DHNL
MDHFS4-1	Spirochaetota	0.0119939858308037	6_DHNL
MDHFS5-1	Spirochaetota	0.0117011821080251	6_DHNL
MDHFS6-1	Spirochaetota	0.0251706599935734	6_DHNL
MDHFS7-1	Spirochaetota	0.0264194397236798	6_DHNL
MDHFS8-1	Spirochaetota	0.014355186946232	6_DHNL
MDHFS9-1	Spirochaetota	0.016169047251354	6_DHNL
MDHFT10-1	Spirochaetota	0.0107137308895228	12_DHNL
MDHFT1-1	Spirochaetota	0.0225430474549218	12_DHNL
MDHFT14-1	Spirochaetota	0.0133668508579051	12_DHNL
MDHFT15-1	Spirochaetota	0.0179030151955218	12_DHNL
MDHFT16-1	Spirochaetota	0.00780014621313225	12_DHNL
MDHFT17-1	Spirochaetota	0.0197661899447795	12_DHNL
MDHFT18-1	Spirochaetota	0.0220319915862355	12_DHNL
MDHFT19-1	Spirochaetota	0.0117550062657961	12_DHNL
MDHFT20-1	Spirochaetota	0.011235651143269	12_DHNL
MDHFT21-1	Spirochaetota	0.0144209684843391	12_DHNL
MDHFT2-1	Spirochaetota	0.0158195053753425	12_DHNL
MDHFT23-1	Spirochaetota	0.0248402591248334	12_DHNL
MDHFT24-1	Spirochaetota	0.00838656897826156	12_DHNL
MDHFT25-2	Spirochaetota	0.0144222967212674	12_DHNL
MDHFT26-2	Spirochaetota	0.0103794935241952	12_DHNL
MDHFT27-1	Spirochaetota	0.0129007594299846	12_DHNL
MDHFT29-1	Spirochaetota	0.00308774423482679	12_DHNL
MDHFT30-1	Spirochaetota	0.0200367816302218	12_DHNL
MDHFT31-1	Spirochaetota	0.015412758798087	12_DHNL
MDHFT3-1	Spirochaetota	0.0059515794570132	12_DHNL
MDHFT32-1	Spirochaetota	0.0326959525630359	12_DHNL
MDHFT33-1	Spirochaetota	0.0107408210175275	12_DHNL
MDHFT34-1	Spirochaetota	0.0155992053009319	12_DHNL
MDHFT35-2	Spirochaetota	0.0101511839585445	12_DHNL
MDHFT4-1	Spirochaetota	0.028318482407355	12_DHNL
MDHFT6-1	Spirochaetota	0.0253821765756876	12_DHNL
MDHFT7-1	Spirochaetota	0.0258147737118363	12_DHNL
MDHFT8-1	Spirochaetota	0.015527058228522	12_DHNL
MDHFO10	UBP6	4.63339589059061e-05	1_DHNL
MDHFO11	UBP6	2.97548567104818e-05	1_DHNL
MDHFO12	UBP6	4.45829952475534e-05	1_DHNL
MDHFO13	UBP6	1.8026602546855e-05	1_DHNL
MDHFO14	UBP6	1.77336543504799e-05	1_DHNL
MDHFO15	UBP6	2.73935761593446e-05	1_DHNL
MDHFO16	UBP6	1.50227254942749e-05	1_DHNL
MDHFO17	UBP6	4.26513619219843e-05	1_DHNL
MDHFO18	UBP6	1.44139692655885e-05	1_DHNL
MDHFO19	UBP6	1.87427613328935e-05	1_DHNL
MDHFO1	UBP6	4.46037574854236e-05	1_DHNL
MDHFO20	UBP6	2.94838239251636e-05	1_DHNL
MDHFO21	UBP6	1.48414172547178e-05	1_DHNL
MDHFO22	UBP6	3.39692749342076e-05	1_DHNL
MDHFO23	UBP6	3.20871561248958e-05	1_DHNL
MDHFO24	UBP6	2.67234043681189e-05	1_DHNL
MDHFO25	UBP6	1.19302587840318e-05	1_DHNL
MDHFO26	UBP6	1.34186031708898e-05	1_DHNL
MDHFO27	UBP6	3.85983592403581e-05	1_DHNL
MDHFO28	UBP6	1.73409014194495e-05	1_DHNL
MDHFO29	UBP6	3.83286920305459e-05	1_DHNL
MDHFO2	UBP6	2.77154017130618e-05	1_DHNL
MDHFO30	UBP6	2.00256739313434e-05	1_DHNL
MDHFO3	UBP6	4.50411930397267e-05	1_DHNL
MDHFO4	UBP6	2.81024257969851e-05	1_DHNL
MDHFO5	UBP6	1.46522851077815e-05	1_DHNL
MDHFO6	UBP6	4.31996944895835e-05	1_DHNL
MDHFO7	UBP6	2.74855503407957e-05	1_DHNL
MDHFO8	UBP6	4.77336891451665e-05	1_DHNL
MDHFO9	UBP6	2.41071872782937e-05	1_DHNL
MDHFS10-2	UBP6	3.44625763839198e-05	6_DHNL
MDHFS1-1	UBP6	3.433046215398e-05	6_DHNL
MDHFS13-2	UBP6	3.28040697394724e-05	6_DHNL
MDHFS14-1	UBP6	2.50460283878465e-05	6_DHNL
MDHFS15-1	UBP6	2.4012578576423e-05	6_DHNL
MDHFS17-1	UBP6	2.12316279314164e-05	6_DHNL
MDHFS18-1	UBP6	2.11481798994942e-05	6_DHNL
MDHFS19-1	UBP6	2.14699255379353e-05	6_DHNL
MDHFS20-1	UBP6	2.43969692398917e-05	6_DHNL
MDHFS21-1	UBP6	2.34395115948354e-05	6_DHNL
MDHFS2-1	UBP6	2.95629808845882e-05	6_DHNL
MDHFS22-1	UBP6	2.51840902058201e-05	6_DHNL
MDHFS23-1	UBP6	2.06379680431305e-05	6_DHNL
MDHFS24-1	UBP6	2.49338011509585e-05	6_DHNL
MDHFS25-1	UBP6	4.14734435582739e-05	6_DHNL
MDHFS26-1	UBP6	2.38296470608923e-05	6_DHNL
MDHFS29-1	UBP6	2.44956413822695e-05	6_DHNL
MDHFS30-1	UBP6	2.53835464760738e-05	6_DHNL
MDHFS31-1	UBP6	1.79066675612037e-05	6_DHNL
MDHFS3-1	UBP6	2.04553159382398e-05	6_DHNL
MDHFS32-1	UBP6	1.82904917449159e-05	6_DHNL
MDHFS33-1	UBP6	2.0635890297877e-05	6_DHNL
MDHFS34-1	UBP6	2.69287873826483e-05	6_DHNL
MDHFS35-1	UBP6	3.40805113814589e-05	6_DHNL
MDHFS4-1	UBP6	3.08852294509275e-05	6_DHNL
MDHFS5-1	UBP6	2.18801880555863e-05	6_DHNL
MDHFS6-1	UBP6	2.17979661037027e-05	6_DHNL
MDHFS7-1	UBP6	3.19756574676224e-05	6_DHNL
MDHFS8-1	UBP6	2.38606984706393e-05	6_DHNL
MDHFS9-1	UBP6	2.97988210005165e-05	6_DHNL
MDHFT10-1	UBP6	2.17043871563635e-05	12_DHNL
MDHFT1-1	UBP6	2.23627855487454e-05	12_DHNL
MDHFT14-1	UBP6	1.72955060237871e-05	12_DHNL
MDHFT15-1	UBP6	2.49804472882242e-05	12_DHNL
MDHFT16-1	UBP6	2.65275837372477e-05	12_DHNL
MDHFT17-1	UBP6	2.60534491053288e-05	12_DHNL
MDHFT18-1	UBP6	2.79448059933289e-05	12_DHNL
MDHFT19-1	UBP6	2.73289111614162e-05	12_DHNL
MDHFT20-1	UBP6	2.30607906198615e-05	12_DHNL
MDHFT21-1	UBP6	2.69055263897082e-05	12_DHNL
MDHFT2-1	UBP6	2.68777131598606e-05	12_DHNL
MDHFT23-1	UBP6	2.65969703514051e-05	12_DHNL
MDHFT24-1	UBP6	2.93040664866819e-05	12_DHNL
MDHFT25-2	UBP6	2.19483329713947e-05	12_DHNL
MDHFT26-2	UBP6	2.26166547143323e-05	12_DHNL
MDHFT27-1	UBP6	2.17708774284041e-05	12_DHNL
MDHFT29-1	UBP6	2.59667677455744e-05	12_DHNL
MDHFT30-1	UBP6	2.77218944994044e-05	12_DHNL
MDHFT31-1	UBP6	2.95533213232745e-05	12_DHNL
MDHFT3-1	UBP6	2.08588415218323e-05	12_DHNL
MDHFT32-1	UBP6	3.1015617856046e-05	12_DHNL
MDHFT33-1	UBP6	2.27146058809077e-05	12_DHNL
MDHFT34-1	UBP6	2.17273931227062e-05	12_DHNL
MDHFT35-2	UBP6	3.48340451486112e-05	12_DHNL
MDHFT4-1	UBP6	3.50617619598762e-05	12_DHNL
MDHFT6-1	UBP6	2.50153177812818e-05	12_DHNL
MDHFT7-1	UBP6	2.6156904445021e-05	12_DHNL
MDHFT8-1	UBP6	2.19754378672086e-05	12_DHNL
MDHFO10	Campylobacterota	0.0654414942019945	1_DHNL
MDHFO11	Campylobacterota	0.0288951927089915	1_DHNL
MDHFO12	Campylobacterota	0.121533401177601	1_DHNL
MDHFO13	Campylobacterota	0.0589377084538309	1_DHNL
MDHFO14	Campylobacterota	0.000131894771111171	1_DHNL
MDHFO15	Campylobacterota	0.000229491102576695	1_DHNL
MDHFO16	Campylobacterota	0.00519737887896757	1_DHNL
MDHFO17	Campylobacterota	0.000191648178048438	1_DHNL
MDHFO18	Campylobacterota	0.000159851582021448	1_DHNL
MDHFO19	Campylobacterota	0.000897278029178698	1_DHNL
MDHFO1	Campylobacterota	0.000617061405350909	1_DHNL
MDHFO20	Campylobacterota	0.034624788094307	1_DHNL
MDHFO21	Campylobacterota	0.250189185280206	1_DHNL
MDHFO22	Campylobacterota	0.00649644739980993	1_DHNL
MDHFO23	Campylobacterota	0.000237184849800095	1_DHNL
MDHFO24	Campylobacterota	0.000210482374534258	1_DHNL
MDHFO25	Campylobacterota	0.08709763919189	1_DHNL
MDHFO26	Campylobacterota	0.000237314849855817	1_DHNL
MDHFO27	Campylobacterota	0.00173603061379272	1_DHNL
MDHFO28	Campylobacterota	0.051240635280715	1_DHNL
MDHFO29	Campylobacterota	0.000101337196611599	1_DHNL
MDHFO2	Campylobacterota	0.000375923295454681	1_DHNL
MDHFO30	Campylobacterota	0.0101278021427621	1_DHNL
MDHFO3	Campylobacterota	0.036480158247101	1_DHNL
MDHFO4	Campylobacterota	0.00614799856976105	1_DHNL
MDHFO5	Campylobacterota	0.00066741436130512	1_DHNL
MDHFO6	Campylobacterota	0.000302898361751484	1_DHNL
MDHFO7	Campylobacterota	0.000286538791023474	1_DHNL
MDHFO8	Campylobacterota	0.000979657499327312	1_DHNL
MDHFO9	Campylobacterota	0.00047532699384584	1_DHNL
MDHFS10-2	Campylobacterota	0.00632891637932686	6_DHNL
MDHFS1-1	Campylobacterota	0.0183010157856001	6_DHNL
MDHFS13-2	Campylobacterota	0.0124628804166258	6_DHNL
MDHFS14-1	Campylobacterota	0.0338025710277241	6_DHNL
MDHFS15-1	Campylobacterota	0.00153563633599844	6_DHNL
MDHFS17-1	Campylobacterota	0.000979376124562092	6_DHNL
MDHFS18-1	Campylobacterota	0.00403639296391843	6_DHNL
MDHFS19-1	Campylobacterota	0.00323357642039068	6_DHNL
MDHFS20-1	Campylobacterota	0.00192717998996863	6_DHNL
MDHFS21-1	Campylobacterota	0.000774241098561868	6_DHNL
MDHFS2-1	Campylobacterota	0.00539959860795912	6_DHNL
MDHFS22-1	Campylobacterota	0.00212608492251991	6_DHNL
MDHFS23-1	Campylobacterota	0.00554840675072866	6_DHNL
MDHFS24-1	Campylobacterota	0.00526590479626155	6_DHNL
MDHFS25-1	Campylobacterota	0.0134262478917243	6_DHNL
MDHFS26-1	Campylobacterota	0.000150749742468405	6_DHNL
MDHFS29-1	Campylobacterota	0.0124098213919816	6_DHNL
MDHFS30-1	Campylobacterota	0.00688075120929452	6_DHNL
MDHFS31-1	Campylobacterota	0.0373622284592063	6_DHNL
MDHFS3-1	Campylobacterota	0.0212382197456237	6_DHNL
MDHFS32-1	Campylobacterota	0.0983959757306068	6_DHNL
MDHFS33-1	Campylobacterota	0.00911764426328503	6_DHNL
