Sample	Phylum	Number	Group
MDHFG4-2	Actinobacteriota	0.000465709345733824	DH_FY
MDHFG5-2	Actinobacteriota	0.000271148528107912	DH_FY
MDHFG6-1	Actinobacteriota	0.000246886113872553	DH_FY
MDHFG7-2	Actinobacteriota	0.000634618807754263	DH_FY
MDHFG8-1	Actinobacteriota	0.000655706039042479	DH_FY
MDHFG9-1	Actinobacteriota	0.000644207002077964	DH_FY
MDHFT10-1	Actinobacteriota	0.000264013029599214	DH_JY
MDHFT1-1	Actinobacteriota	0.000126404650204732	DH_JY
MDHFT14-1	Actinobacteriota	0.000251602116459007	DH_JY
MDHFT15-1	Actinobacteriota	0.000186125907685638	DH_JY
MDHFT16-1	Actinobacteriota	0.00018874927176116	DH_JY
MDHFT17-1	Actinobacteriota	0.000729877623946179	DH_JY
MDHFT18-1	Actinobacteriota	0.000518600157213461	DH_JY
MDHFT19-1	Actinobacteriota	0.000477052115296288	DH_JY
MDHFT20-1	Actinobacteriota	0.000214078773715402	DH_JY
MDHFT21-1	Actinobacteriota	0.00113923635965719	DH_JY
MDHFT2-1	Actinobacteriota	0.000262652463365731	DH_JY
MDHFT23-1	Actinobacteriota	0.000422443291081974	DH_JY
MDHFT24-1	Actinobacteriota	0.000182272660117727	DH_JY
MDHFT25-2	Actinobacteriota	0.000251144697795886	DH_JY
MDHFT26-2	Actinobacteriota	0.000542728610884893	DH_JY
MDHFT27-1	Actinobacteriota	0.000780569656333096	DH_JY
MDHFT29-1	Actinobacteriota	0.000314034974448353	DH_JY
MDHFT30-1	Actinobacteriota	0.000241907482910793	DH_JY
MDHFT31-1	Actinobacteriota	0.000184634031071078	DH_JY
MDHFT3-1	Actinobacteriota	0.000243046764291449	DH_JY
MDHFT32-1	Actinobacteriota	0.000547656029527255	DH_JY
MDHFT33-1	Actinobacteriota	0.000379374272271949	DH_JY
MDHFT34-1	Actinobacteriota	0.000288611947677389	DH_JY
MDHFT35-2	Actinobacteriota	0.000309903429357412	DH_JY
MDHFT4-1	Actinobacteriota	0.000250932817851093	DH_JY
MDHFT6-1	Actinobacteriota	0.000336144983878929	DH_JY
MDHFT7-1	Actinobacteriota	0.000215852608967607	DH_JY
