ID	MDHFG10-1	MDHFG11-2	MDHFG1-1	MDHFG12-2	MDHFG13-1	MDHFG14-2	MDHFG16-2	MDHFG17-2	MDHFG18-2	MDHFG19-2	MDHFG22-1	MDHFG23-2	MDHFG2-3	MDHFG24-1	MDHFG27-2	MDHFG28-2	MDHFG29-2	MDHFG30-2	MDHFG31-2	MDHFG34-2	MDHFG35-2	MDHFG36-1	MDHFG37-2	MDHFG38-2	MDHFG4-2	MDHFG5-2	MDHFG6-1	MDHFG7-2	MDHFG8-1	MDHFG9-1	MDHFT10-1	MDHFT1-1	MDHFT14-1	MDHFT15-1	MDHFT16-1	MDHFT17-1	MDHFT18-1	MDHFT19-1	MDHFT20-1	MDHFT21-1	MDHFT2-1	MDHFT23-1	MDHFT24-1	MDHFT25-2	MDHFT26-2	MDHFT27-1	MDHFT29-1	MDHFT30-1	MDHFT31-1	MDHFT3-1	MDHFT32-1	MDHFT33-1	MDHFT34-1	MDHFT35-2	MDHFT4-1	MDHFT6-1	MDHFT7-1	MDHFT8-1
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	0.0030132942627982	0.00241114875462465	0.00344624868056438	0.0056119459182138	0.00999571773452891	0.00271587781912494	0.00908145298057766	0.00236940131542212	0.00243002891539426	0.00432894422863289	0.00305575192516059	0.00147185516272177	0.00236110142768418	0.00376180071950948	0.00186025397877711	0.00268170485745019	0.00227964014731953	0.00182781222182776	0.00409074131731655	0.00737088361255957	0.00320402506332097	0.0110648742869383	0.00125421940350893	0.00169535262649855	0.00639073444887392	0.000214950990044964	0.00311305611462308	0.00118601580963319	0.00203164674087587	0.00503319847620274	0.0010112550627247	0.00102776784906487	0.00123588572445769	0.00102768361972435	0.000747115448891456	0.000909791177844806	0.00125451638543692	0.00144459659235965	0.00113750187277071	0.00118994171971359	0.000879890685454401	0.00120658404099413	0.000918066708944886	0.000672355653167054	0.000687298361205842	0.00119498414647524	0.000936325306807986	0.00169376462090422	0.000722707265405727	0.000946589749006483	0.000910315341880628	0.000769787296761092	0.00096017623828796	0.000925531994381751	0.00119509792643753	0.00093735769928025	0.00138474202061427	0.000819598660329557
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__	3.89264010351283e-05	1.93641897948609e-05	1.52543957654215e-05	4.11106718806791e-05	1.48504223971083e-05	2.05927087913081e-05	2.17754638810201e-05	0.00289951242151993	1.5949634295434e-05	5.30599025085786e-05	2.10481640031536e-05	0.00802021872244731	2.34409270411163e-05	2.68167478827518e-05	2.22235943081992e-05	1.50491920285517e-05	3.2045593383897e-05	0.000277985847783657	2.14776788033413e-05	1.46392484733005e-05	0.000789110458411628	0.00101803037772377	0.000141624970223735	1.92041887714805e-05	2.41909232453439e-05	1.47071843099469e-05	0.00114072089683818	0.000920476849021957	1.65184590408185e-05	1.8896690447618e-05	9.64682063309514e-06	1.20713760357245e-05	1.09079636617131e-05	1.34183616938282e-05	1.26485148910023e-05	1.58222489248175e-05	1.41036381277166e-05	2.12951275750042e-05	1.8110498613797e-05	1.8135672665835e-05	1.60802244451733e-05	3.95176981314542e-05	1.76001938617989e-05	1.48188765430312e-05	9.92581243400298e-06	1.3187194522091e-05	2.28768695190336e-05	1.61646928992663e-05	1.26902759440275e-05	1.37335365490911e-05	2.33486604032058e-05	1.72869431119831e-05	1.77495027551615e-05	0.000606299882406827	1.83405550818871e-05	1.20979948146827e-05	1.45068439920871e-05	1.30854823186476e-05
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	0.00543730607482082	0.0021795693511902	0.00173904676689037	0.0055378635544646	0.0035505822700342	0.00469412527688828	0.00325121109753772	0.00257835900096055	0.00272703537331888	0.00297738521761299	0.00301638441134704	0.00361960020427047	0.0046094322962602	0.0038255481809488	0.0035915983505585	0.00310522892000371	0.00272980323306116	0.00258560512886234	0.00267873268216647	0.00311202963809818	0.00161626571807737	0.00238959507185863	0.00365984648093817	0.00203363783054251	0.00524651648518971	0.00107770780190217	0.00499353484966104	0.00353918484376082	0.00269495786915391	0.00577876661422369	0.00206055678569203	0.00162487310486647	0.00179415045821583	0.0017585912501434	0.00177979188355608	0.0016358036322696	0.00202496116805487	0.00285670918590043	0.00236381351362371	0.00261329466398135	0.00191910944541037	0.002518958152256	0.0021208265046216	0.00198679659654089	0.00158913212552147	0.00206045133214124	0.00103261980962764	0.0021613101817998	0.00193148606161768	0.00175318522485996	0.00219823075151282	0.00204382591562234	0.00231089113626038	0.00271255201013946	0.00205393350826506	0.00167790141626729	0.00254527577037289	0.00187146519879435
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__RUG572;s__	0.000118587367058973	4.98225750004557e-05	0.000210849644642949	0.00014013118381027	0.000342853881378879	5.29020114227741e-05	3.06696515259874e-05	4.26383460904694e-05	3.02127480377031e-05	7.89689773229049e-05	7.50860971599665e-05	6.17754079525456e-05	5.84334660873419e-05	7.93894438375964e-05	6.98398837971371e-05	8.71205654019554e-05	0.000217829251318907	4.6398094174699e-05	0.000169795428715397	0.000103755319076503	5.60589213765601e-05	4.54534677385595e-05	7.17800932687606e-05	5.32077552291738e-05	7.66187945639725e-05	8.42638704188653e-05	0.00116568510487535	8.75306818383534e-05	0.000198096581060752	0.00059898416706129	0.000933204741749613	0.000324681095080491	0.0007628126080694	0.001466787891287	0.000675736785892402	0.00094850865463393	0.0012829777647568	0.000332945561550175	0.000340082349289312	0.000389949846032694	0.00219243282341591	0.00058422206842159	0.000680851780355138	0.00168400037727294	0.000759965733796099	0.000778136537714684	0.000277213744967801	0.000502144433692666	0.000484279512842053	0.0018009418573673	0.00109994292252035	0.000360401511857602	0.000303024111699039	0.00160448878742919	0.00041304354661638	0.000969944240215626	0.0011066475164769	0.00104645084756832
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RUG163;s__	0.00415176921638737	0.00824109629772311	0.000350480131551128	0.000471960658156322	0.000218114058555349	0.000380462267351992	0.000266444775844805	0.000372052382368922	0.000374039379896661	0.0177963011645925	0.000346857102795397	0.00031142514844234	0.000568495375468513	0.000449705125551855	0.00032727147514141	0.000289731373564857	0.00032859045213593	0.000406374725853535	0.000345101947472345	0.000226108573135641	0.00028867314712429	0.00674828047903678	0.000532205689272715	0.000337421473269055	0.000351133364752205	0.000271346433973736	0.0192269515490651	0.000703621804943532	0.000306869134563229	0.000255256864247542	0.000801435807615409	0.000502500628151198	0.0176217026438706	0.00185403544307997	0.00145617650754889	0.00598289943705536	0.0013029254739259	0.00385349583468106	0.00113393304112286	0.00220366838472208	0.00878005259319583	0.00116817545681713	0.000560753921780294	0.029862648992052	0.00457964151749907	0.00749400259571624	0.000375073979544009	0.0101964013077472	0.00368837316641051	0.0014074155150738	0.00209585767076995	0.00153816159807571	0.0026263425275584	0.0027137347523941	0.00884157392086064	0.00118792162998825	0.0222342908029938	0.000677336305815825
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__	0.000236114223709222	0.000155081956057755	0.00250779198941407	0.000287579823109323	7.62472272473211e-05	0.000177035183628658	0.000184750193888469	0.000134799120322036	0.000139286787892268	0.000215693788387221	0.00399335495070208	0.000206131786732384	0.000190557216999181	0.0101500086861436	0.000168421352115121	0.000588790040439404	0.00167766983314877	0.00141930057860683	0.00608439503088521	0.000103128933096301	8.1999095095822e-05	0.000102342190146965	0.000730122968408441	9.9408484532478e-05	0.000134072964866126	0.00132021279171873	0.000513297322930343	0.000279145509718398	0.0026849919871769	0.000111514883062382	5.30789860445893e-05	6.47420656965691e-05	4.85314500537455e-05	5.074863542985e-05	4.21068668447256e-05	0.000361723096745161	0.000187510303428541	0.000165766790214561	0.0003806205914723	0.000238047125041286	5.59524265239386e-05	0.000131436075008726	0.000437755381885247	6.37287497319661e-05	0.000577520850434229	0.0019105635841407	6.65924278723426e-05	0.00109723545441663	4.76229427580736e-05	5.32192330556274e-05	0.000264650361944921	0.000940621183447626	7.10053659381945e-05	9.65126992637027e-05	8.25468213870533e-05	0.000746011041036552	5.97132408357431e-05	0.000373582779844643
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__UBA1776;s__	0.000848580702724815	0.000480337140951839	0.000323980758302278	0.000287515685801825	0.000285742617051745	0.000398606960377553	0.000307094324519128	0.00115454273470129	0.000440069086676004	0.000460081902975206	0.000229421918602145	0.00148129813466629	0.000464192696875293	0.00124392491901135	0.000264471089336698	0.000579103735448736	0.000849792050750109	0.00148695600981616	0.000310676726595746	0.000238315415474772	0.00138016254654229	0.000768816936024275	0.0018494479177672	0.0010996542671118	0.000382348381291339	0.000206241283840055	0.000648906608253658	0.00130196312856975	0.000323135966828974	0.000304253681076485	0.00515438593218718	0.00303400000739031	0.0018363803480033	0.00262013771617781	0.00378073884898848	0.00286407613227592	0.00315605204426263	0.00258761883564952	0.00135037136477095	0.0015629514249268	0.0033956647959824	0.00349729213064606	0.00198548322021707	0.00388880952064113	0.00278228524485826	0.00303201181053047	0.000530706838980354	0.00126928244999342	0.00289019725302596	0.00234753193117026	0.00203909261285427	0.0024204169300438	0.00281841397226841	0.00497604776288056	0.0016308247391786	0.00271663168800355	0.00256901187912607	0.00239742496770041
d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1174;s__	9.82362518733013e-05	8.34632085819294e-05	7.89125224458503e-05	0.000105272917454333	8.17409986738713e-05	8.73713170125079e-05	7.87735046449644e-05	9.44056222813168e-05	6.95287687009353e-05	9.30703534575086e-05	8.17749604685728e-05	8.09955368784826e-05	0.000108616628265785	9.44245683963979e-05	9.60161901763046e-05	5.06445909680419e-05	7.50304069762239e-05	8.97743737056985e-05	9.3908789344925e-05	6.84382957960092e-05	0.000103844634345505	8.5681734161595e-05	0.000127686837541007	8.98369560321538e-05	0.000127683368202705	6.12370366367814e-05	0.00011607191239722	0.000133759514968712	9.49695550520726e-05	0.000113733202998268	9.20832415183205e-05	7.16442724699799e-05	6.10918337666063e-05	7.21372336964699e-05	8.10688367031375e-05	7.89068682925284e-05	0.00131937739795633	0.000101529353201088	0.000432022763801178	9.82997332377174e-05	0.00146886727009225	0.000256397932799565	0.000910264252328702	0.000146065599836708	0.000150339002111235	0.000146233442229618	0.000335177611851569	7.01597115082535e-05	9.28581140044166e-05	6.34283596560609e-05	9.86618533314935e-05	0.000108761768938258	0.000663729169002554	0.00111171150543173	0.000158085334614553	0.000385525283301688	0.000120646397675963	8.49420973981909e-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__	0.000275897715095355	0.00394985841645582	0.0005337120692337	0.00621244194429306	0.000582281252090274	0.00113790348511512	0.00310367993233336	0.000689318254813152	0.000417574627497793	0.00351562491026603	0.00232435306724145	0.00298802475118602	0.000302954511945004	0.000513112315369695	0.00351528307811443	0.000942833649402859	0.00061857238991082	0.000434531657421553	0.00087768098672194	0.00165297896162503	0.00016130569927952	0.000677055666895439	0.000917148374616951	0.0011058867154356	0.00408218980469779	0.000238285999688772	0.000371608659159284	0.00067100598952757	0.00286487500787354	0.00903303414014311	9.73504451055986e-05	0.000593716767777815	0.00111118440203638	0.000154102638774044	8.24340429384866e-05	0.000151002256967779	0.000149328546487326	0.000791782729529792	0.000335577777495693	0.000155996029985868	0.00028218805876761	0.00010850018552792	0.000166118916472516	0.000111552599198826	0.000313826516879888	0.000256581842239347	0.000278309635851162	0.000152960764062478	0.000116195847233925	0.000185510371652168	0.00024695987133843	0.000141412257882175	0.000440873630918147	0.000189735330473335	0.00019071944341842	0.000106487663385565	0.000109364238232427	8.19061973734426e-05
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__UBA3637;g__;s__	0.0039536228659319	0.000205184269959136	0.00021277589211519	0.000264606948629545	0.000159069213186552	0.000182543651642532	0.00017988435634554	0.00048236219250723	0.000178079964962381	0.0116915684013383	0.000230905909142314	0.00080294022106213	0.00079634145971546	0.000943442384701818	0.00100096652579835	0.000128414386039278	0.00164318687117618	0.00652610529858694	0.000242166452500467	0.000123470300580305	0.00180847050127274	0.00122340323435116	0.00152977593482757	0.000242148646243008	0.000294893297745489	0.000195042278176083	0.00282115419851227	0.00552398892602945	0.000140259161290734	0.000252942494821781	0.00137320501576445	0.00468818711602561	0.00135556699852121	0.00132205240042839	0.00176175515139211	0.00171534467804056	0.000803978968339968	0.00508389908920449	0.000844440471062594	0.00243134731973747	0.000909082184496605	0.0010992846778673	0.00432738159586094	0.000187353208052412	0.00340507262577191	0.00160248130771523	0.0129353711574137	0.000408482078970031	0.00692717669760462	0.00357500713391389	0.00189162642384191	0.00510468536993237	0.0022039273313661	0.00224522555545289	0.000827234124531084	0.00166965721816939	0.000811916437765708	0.00623924454771902
